variant,query_id,faithfulness_weight,coverage_weight,hallucination_risk
lexical_k3,q001,0.5,0.5,0.11282051282051286
lexical_k3,q002,0.5,0.5,0.08333333333333326
lexical_k3,q003,0.5,0.5,0.09999999999999998
lexical_k3,q004,0.5,0.5,0.0
lexical_k3,q005,0.5,0.5,0.011111111111111072
lexical_k3,q006,0.5,0.5,0.0
lexical_k3,q007,0.5,0.5,0.0
lexical_k3,q008,0.5,0.5,0.41666666666666663
lexical_k3,q009,0.5,0.5,0.013157894736842035
lexical_k3,q010,0.5,0.5,0.010869565217391353
lexical_k3,q011,0.5,0.5,0.0
lexical_k3,q012,0.5,0.5,0.0
lexical_k3,q013,0.5,0.5,0.13719512195121952
lexical_k3,q014,0.5,0.5,0.011904761904761862
lexical_k3,q015,0.5,0.5,0.11562499999999998
lexical_k3,q016,0.5,0.5,0.012195121951219523
lexical_k3,q017,0.5,0.5,0.012820512820512775
lexical_k3,q018,0.5,0.5,0.0
lexical_k3,q019,0.5,0.5,0.11282051282051286
lexical_k3,q020,0.5,0.5,0.011363636363636354
lexical_k3,q021,0.5,0.5,0.0
lexical_k3,q022,0.5,0.5,0.011363636363636354
lexical_k3,q023,0.5,0.5,0.010638297872340496
lexical_k3,q024,0.5,0.5,0.0
lexical_k3,q025,0.5,0.5,0.0
lexical_k3,q026,0.5,0.5,0.013157894736842035
lexical_k3,q027,0.5,0.5,0.013157894736842035
lexical_k3,q028,0.5,0.5,0.0
lexical_k3,q029,0.5,0.5,0.0
lexical_k3,q030,0.5,0.5,0.19999999999999996
lexical_k3,q031,0.5,0.5,0.015151515151515138
lexical_k3,q032,0.5,0.5,0.11190476190476195
lexical_k3,q033,0.5,0.5,0.012820512820512775
lexical_k3,q034,0.5,0.5,0.011111111111111072
lexical_k3,q035,0.5,0.5,0.013157894736842035
lexical_k3,q036,0.5,0.5,0.011111111111111072
lexical_k3,q037,0.5,0.5,0.11162790697674418
lexical_k3,q038,0.5,0.5,0.0
lexical_k3,q039,0.5,0.5,0.21219512195121948
lexical_k3,q040,0.5,0.5,0.0
lexical_k3,q041,0.5,0.5,0.0
lexical_k3,q042,0.5,0.5,0.19999999999999996
lexical_k3,q043,0.5,0.5,0.09999999999999998
lexical_k3,q044,0.5,0.5,0.013157894736842035
lexical_k3,q045,0.5,0.5,0.09999999999999998
lexical_k3,q046,0.5,0.5,0.012820512820512775
lexical_k3,q047,0.5,0.5,0.011904761904761862
lexical_k3,q048,0.5,0.5,0.125
lexical_k3,q049,0.5,0.5,0.09999999999999998
lexical_k3,q050,0.5,0.5,0.09999999999999998
lexical_k3,q051,0.5,0.5,0.0
lexical_k3,q052,0.5,0.5,0.0
lexical_k3,q053,0.5,0.5,0.0
lexical_k3,q054,0.5,0.5,0.0
lexical_k3,q055,0.5,0.5,0.09999999999999998
lexical_k3,q056,0.5,0.5,0.19999999999999996
lexical_k5,q001,0.5,0.5,0.11282051282051286
lexical_k5,q002,0.5,0.5,0.08333333333333326
lexical_k5,q003,0.5,0.5,0.09999999999999998
lexical_k5,q004,0.5,0.5,0.0
lexical_k5,q005,0.5,0.5,0.011111111111111072
lexical_k5,q006,0.5,0.5,0.0
lexical_k5,q007,0.5,0.5,0.0
lexical_k5,q008,0.5,0.5,0.41666666666666663
lexical_k5,q009,0.5,0.5,0.013157894736842035
lexical_k5,q010,0.5,0.5,0.010869565217391353
lexical_k5,q011,0.5,0.5,0.0
lexical_k5,q012,0.5,0.5,0.0
lexical_k5,q013,0.5,0.5,0.13719512195121952
lexical_k5,q014,0.5,0.5,0.011904761904761862
lexical_k5,q015,0.5,0.5,0.11562499999999998
lexical_k5,q016,0.5,0.5,0.012195121951219523
lexical_k5,q017,0.5,0.5,0.012820512820512775
lexical_k5,q018,0.5,0.5,0.0
lexical_k5,q019,0.5,0.5,0.11282051282051286
