variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk
lexical_k5_rerank,q001,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.448e-05,4.556e-05,4.556e-05,187.1,90.0,180.0,457.1,457.1,1.0,0.5,0.6509209298071326,0.4,1.0,0.9787234042553191,0.6,0.15382978723404261
lexical_k5_rerank,q002,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.248e-05,4.356e-05,4.356e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9787234042553191,0.8333333333333334,0.07216312056737584
lexical_k5_rerank,q003,stale_context,5.0,true,lexical,1.08e-06,2e-05,2.248e-05,4.356e-05,4.356e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.4,1.0,1.0,0.8,0.07000000000000006
lexical_k5_rerank,q004,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.44e-05,4.548e-05,4.548e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.972972972972973,1.0,0.0175675675675675
lexical_k5_rerank,q005,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.088e-05,4.196e-05,4.196e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q006,compliance,5.0,true,lexical,1.08e-06,2e-05,2.264e-05,4.372e-05,4.372e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q007,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.192e-05,4.3e-05,4.3e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
lexical_k5_rerank,q008,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.176e-05,4.284e-05,4.284e-05,187.1,90.0,180.0,457.1,457.1,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.16666666666666666,0.3052083333333333
lexical_k5_rerank,q009,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.9197207891481876,0.4,1.0,0.9736842105263158,1.0,0.017105263157894735
lexical_k5_rerank,q010,compliance,5.0,true,lexical,1.08e-06,2e-05,2.352e-05,4.46e-05,4.46e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9782608695652174,1.0,0.01413043478260867
